id_consulta,id_paciente,id_vet,fecha,motivo,diagnostico,costo,estado
CON001,P001,V001,2025-10-05,Control anual,Sano,4500,Cerrada
CON002,P002,V003,2025-10-12,Alergia cutánea,Dermatitis atópica,6200,Cerrada
CON003,P003,V002,2025-09-20,Fractura pata,Fractura radio,15000,Cerrada
CON004,P004,V001,2025-11-01,Pérdida de apetito,Estrés ambiental,3800,Seguimiento
CON005,P005,V005,2025-11-10,Vómitos recurrentes,Gastritis,5500,Seguimiento
CON006,P006,V003,2025-11-18,Revisión piel,Eccema,4100,Cerrada
CON007,P001,V001,2025-12-02,Control post-vacuna,Sin novedades,2000,Cerrada
CON008,P007,V002,2025-12-10,Extracción dentaria,Periodontitis,12000,Cerrada
CON009,P009,V007,2025-12-15,Control anual,Sano,3500,Cerrada
CON010,P010,V003,2025-12-18,Caída de pelo,Dermatitis seborreica,5800,Seguimiento
CON011,P011,V005,2025-12-20,Control anual,Sano,4500,Cerrada
CON012,P012,V001,2026-01-05,Cojera leve,Esguince,6000,Cerrada
CON013,P013,V003,2026-01-08,Revisión piel,Alergia alimentaria,4800,Seguimiento
CON014,P014,V007,2026-01-10,Control anual,Sano,3200,Cerrada
CON015,P017,V005,2026-01-15,Vómitos,Gastroenteritis,5200,Cerrada
CON016,P018,V002,2026-01-20,Revisión general,Sano,4000,Cerrada
CON017,P005,V006,2026-02-01,Fractura pata,Fractura tibia,18000,Seguimiento
CON018,P012,V001,2026-04-10,Control anual,Sano,4500,Cerrada
